Cd_Exercicio,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Vl_Congelado,Disponivel,Vl_EmpenhadoLiquido,Vl_Liquidado,Vl_Pago
2019,12,SMSUB     ,Atividades,33909200,0,0,0,"359986,81","359986,81","359986,81","359986,81"
2019,12,SMSUB     ,Atividades,33914700,0,0,0,"4289,85","4289,85","4289,85","4289,85"
2019,12,SMSUB     ,Atividades,44905200,100000,"13348,7","27798,36","1220649,27","1220649,27","903267,97","903267,97"
2019,12,SMSUB     ,Projetos,44903500,0,"18734,5",0,"134585,5","134585,5","44205,74","44205,74"
2019,12,SMSUB     ,Projetos,44904000,5000000,0,"5008534,13","6521526,62","6521526,62","5238936,33","5238936,33"
2019,12,SMSUB     ,Atividades,33904000,19301262,0,"7580,78","27941225,87","27941225,87","22234723,97","22234723,97"
2019,12,SMSUB     ,Atividades,33909200,0,0,0,"115711,52","115711,52","115711,52","28025,21"
2019,12,SMSUB     ,Projetos,44903900,30000,30000,30000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903500,0,0,0,1500000,0,0,0
2019,12,SMSUB     ,Projetos,44905100,1000,0,"28080,71","36878416,96","3081862,66","1830818,68","1830818,68"
2019,12,SMSUB     ,Projetos,44905100,2236924,"57640,87",2236924,0,0,0,0
2019,12,SMSUB     ,Projetos,44905100,1000000,"985970,19",1000000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,1000,1000,1000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,1000,1000,1000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,120000,120000,120000,0,0,0,0
2019,12,SMSUB     ,Atividades,33903900,1000,1000,1000,0,0,0,0
2019,12,SMSUB     ,Atividades,33903900,1750000,1600000,1750000,0,0,0,0
2019,12,SMSUB     ,Atividades,33903900,800000,800000,800000,0,0,0,0
2019,12,SMSUB     ,Atividades,33903000,0,0,"493511,36","8369048,8","8369048,8","3303745,4","3303745,4"
2019,12,SMSUB     ,Atividades,33903900,15413137,"16632648,53","100211,52","42963974,79","42946696,05","35946563,78","35946563,78"
2019,12,SMSUB     ,Projetos,44903900,5200000,5200000,5200000,0,0,0,0
2019,12,SMSUB     ,Projetos,44905100,0,0,0,100000,0,0,0
2019,12,SMSUB     ,Projetos,44905100,15000000,"239839,24",15000000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,30000,0,30000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,30000,0,30000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,1000000,1000000,1000000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,150000,150000,150000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,200000,200000,200000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,300000,300000,300000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,450000,450000,450000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,500000,500000,500000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,400000,400000,400000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903500,0,"9691487,56","14450954,97",4185980,4185980,"1178137,66","1178137,66"
2019,12,SMSUB     ,Projetos,44903900,1000,500000,"2276597,26",12750000,"11081055,21","6072966,95","6072966,95"
2019,12,SMSUB     ,Projetos,44903900,0,0,"116274379,28","35803673,72","26202173,39",0,0
2019,12,SMSUB     ,Projetos,44905100,999000,999000,"4201553,49","28647,44","28647,44",0,0
2019,12,SMSUB     ,Projetos,44905100,0,0,0,"19027149,24","19027149,24","18839368,74","18839368,74"
2019,12,SMSUB     ,Projetos,44905100,2000,2000,2000,0,0,0,0
2019,12,SMSUB     ,Projetos,44905100,7000,7000,7000,0,0,0,0
2019,12,SMSUB     ,Projetos,44905100,2000,2000,2000,0,0,0,0
2019,12,SMSUB     ,Projetos,44905100,100000,100000,100000,0,0,0,0
2019,12,SMSUB     ,Projetos,44905100,4500,4500,4500,0,0,0,0
2019,12,SMSUB     ,Projetos,44905100,4500,4500,4500,0,0,0,0
