Cd_Exercicio,Administracao,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Vl_Congelado,Disponivel,Vl_Liquidado,Vl_Pago
2022,Direta,14,SEHAB     ,Atividades,33919200,0,0,0,0,0,0
2022,Direta,14,SEHAB     ,Atividades,44905200,10000,0,0,60000,9105,9105
2022,Direta,14,SEHAB     ,Projetos,44904000,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Atividades,33904000,6000000,500000,0,5500000,"3551349,59","3398330,67"
2022,Direta,14,SEHAB     ,Projetos,44905100,1178500000,0,1178500000,0,0,0
2022,Direta,14,SEHAB     ,Projetos,44903900,1000,0,0,"2227447,37",0,0
2022,Direta,14,SEHAB     ,Projetos,44903900,9407043,0,9407043,"1231618,57",0,0
2022,Direta,14,SEHAB     ,Projetos,44905100,1000,0,0,640000,0,0
2022,Direta,14,SEHAB     ,Projetos,44905100,23500000,0,23500000,"107359721,21","62344991,8","59678537,57"
2022,Direta,14,SEHAB     ,Projetos,44905100,5091600,0,5091600,"23689065,66",0,0
2022,Direta,14,SEHAB     ,Projetos,44905100,85464290,50000000,85464290,"102181747,02","63537692,59","63537692,59"
2022,Direta,14,SEHAB     ,Projetos,44906100,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Projetos,44909200,0,0,0,0,0,0
2022,Direta,14,SEHAB     ,Projetos,44903900,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Projetos,44903900,1000,0,1000,0,0,0
2022,Direta,14,SEHAB     ,Projetos,44905100,20001000,20000000,"36179299,92",1000,0,0
2022,Direta,14,SEHAB     ,Projetos,44909200,0,0,0,0,0,0
2022,Direta,14,SEHAB     ,Projetos,33903900,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Projetos,33903900,0,0,0,0,0,0
2022,Direta,14,SEHAB     ,Projetos,33909200,0,0,0,0,0,0
2022,Direta,14,SEHAB     ,Projetos,33909200,0,0,0,0,0,0
2022,Direta,14,SEHAB     ,Projetos,44903900,3201000,0,"6243602,69","28650985,8","384984,23","322914,2"
2022,Direta,14,SEHAB     ,Projetos,44903900,268000,0,268000,0,0,0
2022,Direta,14,SEHAB     ,Projetos,44905100,11221000,"5168379,94",22440000,"6052620,06","601193,17","9408,64"
2022,Direta,14,SEHAB     ,Projetos,44905100,36927349,"18597465,66",36927349,"16873368,06","1286621,21","1012265,38"
2022,Direta,14,SEHAB     ,Projetos,44909200,0,0,0,0,0,0
2022,Direta,14,SEHAB     ,Projetos,44903900,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Projetos,44903900,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Projetos,33678200,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Projetos,44903900,5000000,0,10000000,5000000,0,0
2022,Direta,14,SEHAB     ,Projetos,44903900,4959000,330000,4959000,0,0,0
2022,Direta,14,SEHAB     ,Projetos,44909200,0,0,0,0,0,0
